"trip_ID","vehicle_ID","start_time","end_time","distance_m","duration_s","fuel_cost","fuel_volume","average_kmpl","average_from_epa_kmpl","score_events","score_speeding","hard_brakes","hard_accels","duration_over_70_s","duration_over_75_s","duration_over_80_s","city_fraction","highway_fraction","night_driving_fraction","idling_time_s","make","model","year","submodel","fuel_grade","fuel_level_percent","battery_voltage","active_dtcs","start_city","start_state","start_country","end_city","end_state","end_country","start_lat","start_long","end_lat","end_long"
"ed0b4f483182766da722a9259b64b659b5b945d563bf6f9a0dc1d5d6d1936abc5f45220847aee9ea3ae08e808c08f50a1d1a6e2dbf9f52a3c178e8a1bb2a503d","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470418808300,1470419154200,2171.4,345.9,0.17,0.2,9,10.2,50,50,0,0,0,0,0,1,0,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Weaverville","CA","US","Weaverville","CA","US","40.72","-122.93","40.73","-122.94"
"9e64e6d08e5a20466f43e0a49385a5fa13cffd31f5323997f120fdafc1745e641ea1d18a27a3e7e550578259c27a2b6260803be895ec5cc563ed6f5e354ff962","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1469901211643,1469901287643,118.9,76,0.03,0,2.9,10.2,50,50,0,0,0,0,0,1,0,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","San Jose","CA","US","San Jose","CA","US","37.29","-121.99","37.29","-121.99"
"77143ad8142469afd10946d6ce1c8700d5fec46ce4ef3d32cb1e0397b8a739f9912f8c12082f88dd7d7f8240ca09fef70e18532e8fba9d9f85f6e18fcf84a7d6","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1467661266300,1467661319600,85.8,53.3,0.03,0,2.3,10.2,50,50,0,0,0,0,0,1,0,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"",,,,,,,"37.32","-122.08","37.32","-122.08"
"e4107612b830889e4f3ef3dfdc7f70ff00bdb40c2621a16825ae7c0cf32b9f6af02bf097d9a448f8768e30770e15da49012a505dbc1b68cfdf3accfd835e28d1","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470791331100,1470793035805,20476.4,1704.7,1.23,1.8,11.4,10.5,50,50,0,0,0,0,0,0.89,0.11,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Stanford","CA","US","Cupertino","CA","US","37.43","-122.18","37.32","-122.08"
"66fd0be0d58250d2c44a708e7633700e7128630264bf5cdef0cc3fed994065783116a2fd91c1a277e38d7826c38e5d6c089401944ae599b3fdccfd14efd51449","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470752021200,1470753569800,20606.9,1548.6,0.94,1.4,15,11,50,50,0,0,0,0,0,0.7,0.3,0,70,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Cupertino","CA","US","Stanford","CA","US","37.32","-122.08","37.43","-122.18"
"600226887b94c90beda2f627edd8002adb8f08139a899ed67004de4544abbd2cc51bf9ef903b4b7c815bd3e716b0dfbadf6c5655d5837bce2e0f3f8eb308cdb5","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470602268600,1470610257600,210488.2,7989,10.89,15.9,13.3,12.2,46.58,-337.59,3,0,3144,1465,101,0.22,0.78,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Dunnigan","CA","US","Cupertino","CA","US","38.89","-121.98","37.32","-122.08"
"80a201d8337f3cc74d7363c60db85ee7b79244747d113f3f5bc301196bd9dc85200bed7d393ca4ff97d488ad55b7799840eb98c2756fed3b27af47b46de9bdef","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470594159400,1470602008800,229617.9,7849.4,11.71,17.1,13.5,12.5,50,-751.66,0,0,4837,3123,816,0.12,0.88,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","French Gulch","CA","US","Dunnigan","CA","US","40.67","-122.70","38.89","-121.98"
"8d29d57795bd380775564c801159f3e00ed930255e0a12b609089eb46bfc38cc8e0d174e336e41cf21074a956aa33bf83a6f26d79b36f7ecde462ee214366eb2","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470589154400,1470591368900,28834.6,2214.5,1.42,2.1,14,12.3,50,50,0,0,0,0,0,0.19,0.81,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Trinity Center","CA","US","Weaverville","CA","US","40.86","-122.89","40.72","-122.93"
"c7cad2c64b69a9a8711b9a35bfcbf4beced34789c4bfdb13cd64cf450b6e44ca98c53ec7d5095f2fc4bb59fcc8d4fd0b0d1c44e58a46b663a1c140798b14164d","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470419601100,1470421702600,27351.9,2101.5,1.62,2.4,11.6,10.8,50,50,0,0,0,0,0,0.76,0.24,0,90,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Weaverville","CA","US","Trinity Center","CA","US","40.73","-122.94","40.87","-122.92"
"0a2f8431182f003a4e31b8c773a10a084d061545bf15296dba3aba633d0d7c0385e125e8081d7ed5027cee21cdbaefa6cfc68c8663a530092774262c5c4def20","8ca88997b1bc144567b825a642f771c827e3c990260c7ac388758a9c3630152dc0939ca3b22959e6ce58e50ac729820a1335671506f2ecaa43e213b87984773c",1470592013800,1470593582600,37945.4,1568.8,1.89,2.8,13.8,12.5,50,50,0,0,0,0,0,0.12,0.88,0,0,"Subaru","Outback",2013,"2.5i Premium","regular",21.55,,"","Weaverville","CA","US","French Gulch","CA","US","40.72","-122.93","40.67","-122.70"
